284.48
284.48
284.48
284.48
284.48
284.48
284.48
284.48
284.48
284.48
284.48
284.48
284.48
284.48
284.48
284.48
284.48
284.48
284.48
284.48
284.48
284.48
284.48
284.48
284.48
284.48
284.48
284.48
284.48
284.48
1, Temperature:284.48
1, Temperature:284.48
2, Temperature:284.48
3, Temperature:284.48
4, Temperature:284.48
5, Temperature:284.48
6, Temperature:284.48
7, Temperature:284.48
8, Temperature:284.48
9, Temperature:284.48
10, Temperature:284.48
11, Temperature:284.48
12, Temperature:284.48
13, Temperature:284.48
14, Temperature:284.48
15, Temperature:284.48
16, Temperature:284.48
17, Temperature:284.48
18, Temperature:284.48
19, Temperature:284.48
20, Temperature:284.48
1,21:41:46,284.48
2,21:41:47,284.48
3,21:41:48,284.48
4,21:41:49,284.48
5,21:41:50,284.48
6,21:41:51,284.48
7,21:41:52,284.48
8,21:41:53,284.48
9,21:41:54,284.48
10,21:41:55,284.48
11,21:41:56,284.48
12,21:41:57,284.48
13,21:41:58,284.48
14,21:41:59,284.48
15,21:42:00,284.48
16,21:42:01,284.48
17,21:42:02,284.48
18,21:42:03,284.48
19,21:42:04,284.48
20,21:42:05,284.48
21,21:42:06,284.48
22,21:42:07,284.48
23,21:42:08,284.48
24,21:42:09,284.48
25,21:42:10,284.48
1,22:39:58,284.81
2,22:39:59,284.81
3,22:40:00,284.81
4,22:40:01,284.81
5,22:40:02,284.81
6,22:40:03,284.81
7,22:40:04,284.81
8,22:40:05,284.81
9,22:40:06,284.81
10,22:40:07,284.81
11,22:40:08,284.81
12,22:40:09,284.81
13,22:40:10,284.81
14,22:40:11,284.81
15,22:40:12,284.81
16,22:40:13,284.81
17,22:40:14,284.81
18,22:40:15,284.81
19,22:40:16,284.81
20,22:40:17,284.81
21,22:40:18,284.81
22,22:40:19,284.81
23,22:40:20,284.81
24,22:40:21,284.81
25,22:40:22,284.81
26,22:40:23,284.81
27,22:40:24,284.81
28,22:40:25,284.81
29,22:40:26,284.81
30,22:40:27,284.81
31,22:40:28,284.81
32,22:40:29,284.81
33,22:40:30,284.81
34,22:40:31,284.81
35,22:40:32,284.81
36,22:40:33,284.81
37,22:40:34,284.81
38,22:40:35,284.81
39,22:40:36,284.81
40,22:40:37,284.81
41,22:40:38,284.81
1,22:42:16,284.81
2,22:42:17,284.81
3,22:42:18,284.81
4,22:42:19,284.81
5,22:42:20,284.81
6,22:42:21,284.81
7,22:42:22,284.81
1,22:42:50,284.81
2,22:42:51,284.81
3,22:42:52,284.81
1,22:47:29,284.81
2,22:47:30,284.81
3,22:47:31,284.81
4,22:47:32,284.81
5,22:47:33,284.81
6,22:47:34,284.81
7,22:47:35,284.81
8,22:47:36,284.81
9,22:47:37,284.81
10,22:47:38,284.81
11,22:47:39,284.81
12,22:47:40,284.81
13,22:47:41,284.81
14,22:47:42,284.81
15,22:47:43,284.81
16,22:47:44,284.81
17,22:47:45,284.81
1,23:07:49,284.61
2,23:07:50,284.61
3,23:07:51,284.61
